Time(s)	Force(lb)	Position(mm)
41.8772	0.034560	43.8699
41.9272	0.034556	43.8644
41.9772	0.034556	43.8596
42.0191	0.034566	43.8553
42.0691	0.034569	43.8502
42.1191	0.034577	43.8455
42.1691	0.034583	43.8402
42.2271	0.034593	43.8345
42.2771	0.034599	43.8293
42.3271	0.034595	43.8243
42.3771	0.034603	43.8197
42.4190	0.034607	43.8157
42.4690	0.034607	43.8106
42.5190	0.034609	43.8056
42.5690	0.034621	43.8007
42.6269	0.034635	43.7949
42.6769	0.034635	43.7902
42.7269	0.034635	43.7848
42.7769	0.034644	43.7796
42.8189	0.034656	43.7754
42.8689	0.034656	43.7706
42.9189	0.034658	43.7654
42.9689	0.034662	43.7606
43.0267	0.034670	43.7546
43.0767	0.034678	43.7496
43.1267	0.034678	43.7449
43.1767	0.034676	43.7393
43.2187	0.034682	43.7356
43.2687	0.034694	43.7306
43.3187	0.034698	43.7253
43.3687	0.034702	43.7205
43.4107	0.034704	43.7160
43.4607	0.034716	43.7110
43.5107	0.034727	43.7064
43.5607	0.034721	43.7017
43.6185	0.034723	43.6955
43.6685	0.034735	43.6911
43.7185	0.034739	43.6857
43.7685	0.034745	43.6807
43.8104	0.034749	43.6766
43.8604	0.034759	43.6714
43.9104	0.034771	43.6666
43.9604	0.034769	43.6615
44.0183	0.034775	43.6558
44.0683	0.034777	43.6508
44.1183	0.034785	43.6455
44.1683	0.034800	43.6410
44.2103	0.034804	43.6365
44.2603	0.034804	43.6314
44.3103	0.034804	43.6266
44.3603	0.034812	43.6212
44.4182	0.034818	43.6157
44.4682	0.034818	43.6106
44.5182	0.034826	43.6057
44.5682	0.034834	43.6008
44.6108	0.034830	43.5963
44.6608	0.034838	43.5914
44.7108	0.034850	43.5862
44.7608	0.034846	43.5813
44.8181	0.034846	43.5757
44.8681	0.034852	43.5704
44.9181	0.034858	43.5659
44.9681	0.034862	43.5605
45.0100	0.034873	43.5564
45.0600	0.034879	43.5516
45.1100	0.034889	43.5463
45.1600	0.034899	43.5419
45.2182	0.034899	43.5357
45.2682	0.034903	43.5307
45.3182	0.034907	43.5257
45.3682	0.034911	43.5206
45.4098	0.034913	43.5167
45.4598	0.034915	43.5114
45.5098	0.034921	43.5064
45.5598	0.034927	43.5017
45.6177	0.034933	43.4956
45.6677	0.034927	43.4911
45.7177	0.034905	43.4855
45.7677	0.034901	43.4805
45.8097	0.034909	43.4764
45.8597	0.034925	43.4712
45.9097	0.034937	43.4664
45.9597	0.034943	43.4612
46.0176	0.034950	43.4554
46.0676	0.034960	43.4508
46.1176	0.034968	43.4459
